Month,Year,Robusta_Kiboko_Price,FAQ_Price,Arabica_Parchment_Price,Drugar_Price,Rainfall,Temperature,Average_Relative_Humidity,Exchange_Rate,Average-Export-Price,Export_Price_Robusta,Export_Price_Arabica,Total_Export_Volume,Export_Value,Robusta_Export_Volume,Robusta_Export_Value,Arabica_Export_Volume,Arabica_Export_Value,ICO_Composite_Price,Top_Importing_Country,Top_Exporter_in_Uganda
January,1992,224,442,497,472,35.03382,23.3,66.16,970,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,61.12,Itally,Kyagalanyi Coffee Ltd
February,1992,207,408,459,436,49.64767,23.8,66.89,985.48,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,55.51,Itally,Kyagalanyi Coffee Ltd
March,1992,247,489,549,522,54.33682,24.2,70.99,1160.08,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,56.48,Itally,Kyagalanyi Coffee Ltd
April,1992,235,464,521,495,119.0856,23.7,71.59,1158.91,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,53.64,Itally,Kyagalanyi Coffee Ltd
May,1992,217,428,481,457,125.3133,22.8,62.59,1164.94,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,49.27,Itally,Kyagalanyi Coffee Ltd
June,1992,251,494,556,527,108.6029,22.1,59.61,1166.06,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,48.13,Itally,Kyagalanyi Coffee Ltd
July,1992,210,420,499,536,107.312,22.3,52.31,1177.86,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,48.70,Itally,Kyagalanyi Coffee Ltd
August,1992,220,440,500,510,41.881,22.3,64.18,1185.29,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,45.89,Itally,Kyagalanyi Coffee Ltd
September,1992,215,400,502,523,126.1728,23.2,65.86,1185.15,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,47.11,Itally,Kyagalanyi Coffee Ltd
October,1992,225,450,510,585,140.0685,23.5,67.15,1181.07,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,52.88,Itally,Kyagalanyi Coffee Ltd
November,1992,250,500,550,644,181.3497,23.2,68.28,1196.34,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,57.49,Itally,Kyagalanyi Coffee Ltd
December,1992,300,600,563,728,140.5184,23.8,67.78,1213.93,0.85,0.81,1.26,171101,8.71,157015,7645211,13003,1067793,64.00,Itally,Kyagalanyi Coffee Ltd
January,1993,300,600,606,602,68.11752,24.3,63.38,1217.12,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,58.14,Itally,Ugacof (U) Ltd
February,1993,270,540,605,593,88.01113,24.7,66.46,1217.09,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,57.32,Itally,Ugacof (U) Ltd
March,1993,280,560,605,567,127.4345,24.5,67.35,1217.52,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,54.76,Itally,Ugacof (U) Ltd
April,1993,270,540,607,529,171.4105,23.3,75.78,1218.09,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,51.38,Itally,Ugacof (U) Ltd
May,1993,275,550,597,560,151.461,22.7,69.36,1213.27,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,54.18,Itally,Ugacof (U) Ltd
June,1993,270,540,600,555,49.86246,22.5,63.26,1199.09,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,54.54,Itally,Ugacof (U) Ltd
July,1993,300,600,608,631,27.89451,21.4,50.11,1197.57,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,60.61,Itally,Ugacof (U) Ltd
August,1993,320,640,645,685,63.33907,22.1,50.41,1196.65,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,67.69,Itally,Ugacof (U) Ltd
September,1993,350,700,700,616,117.9563,22.0,57.84,1181.988,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,71.64,Itally,Ugacof (U) Ltd
October,1993,350,800,773,676,76.55813,22.8,71.17,1170.837,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,67.78,Itally,Ugacof (U) Ltd
November,1993,325,650,775,699,148.0802,22.5,74.72,1165.009,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,70.03,Itally,Ugacof (U) Ltd
December,1993,400,900,770,713,101.0854,22.4,75.39,1146.003,0.87,0.82,1.22,174054,9.06,153459,7548012,22467,1509820,71.50,Itally,Ugacof (U) Ltd
January,1994,500,900,950,653,59.93845,22.3,70.28,1112.71,1.52,1.30,2.54,250434,22.81,205997,16025593,44437,6779311,69.17,Itally,Kyagalanyi Coffee Ltd
February,1994,600,1100,1200,654,88.70426,22.6,65.63,1047.222,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,72.37,Itally,Kyagalanyi Coffee Ltd
March,1994,650,1200,1350,717,169.61,23.4,69.65,1079.223,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,76.11,Itally,Kyagalanyi Coffee Ltd
April,1994,650,1200,1450,708,187.3833,22.2,78.74,1007.032,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,81.19,Itally,Kyagalanyi Coffee Ltd
May,1994,700,1200,1450,906,215.9971,21.7,63.90,965.708,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,108.42,Itally,Kyagalanyi Coffee Ltd
June,1994,650,1300,1550,1045,86.93786,21.5,54.54,962.59,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,127.91,Itally,Kyagalanyi Coffee Ltd
July,1994,950,1900,1600,1751,104.9846,21.5,50.01,967.065,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,191.44,Itally,Kyagalanyi Coffee Ltd
August,1994,1100,2200,1900,1593,121.3022,22.0,43.89,921.379,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,181.53,Itally,Kyagalanyi Coffee Ltd
September,1994,1000,2150,2000,1728,139.5468,22.0,56.34,920.792,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,202.39,Itally,Kyagalanyi Coffee Ltd
October,1994,750,1650,1800,1623,131.8231,22.8,60.26,919.781,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,185.64,Itally,Kyagalanyi Coffee Ltd
November,1994,825,1925,2100,1476,281.5123,22.7,70.07,920.138,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,168.12,Itally,Kyagalanyi Coffee Ltd
December,1994,800,1600,1900,1305,129.9981,22.6,64.73,929.75,1.52,1.30,2.54,250434,22.81,205997,16025593,44427,6779311,149.14,Itally,Kyagalanyi Coffee Ltd
January,1995,850,1700,1650,,27.14896,23.0,60.57,925.04,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,152.08,Itally,Ugacof (U) Ltd
February,1995,900,1800,1500,,91.49809,23.8,72.39,925.528,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,152.24,Itally,Ugacof (U) Ltd
March,1995,800,1750,1475,,180.6191,23.2,70.55,927.035,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,162.73,Itally,Ugacof (U) Ltd
April,1995,775,1700,1475,,273.3623,23.1,69.91,928.828,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,159.59,Itally,Ugacof (U) Ltd
May,1995,825,1750,1500,,170.3977,23.0,65.36,941.02,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,155.96,Itally,Ugacof (U) Ltd
June,1995,900,1800,1550,,54.17759,22.4,54.42,964.81,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,141.66,Itally,Ugacof (U) Ltd
July,1995,950,1900,1550,,114.4236,21.8,53.44,968.93,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,132.71,Itally,Ugacof (U) Ltd
August,1995,900,1850,1435,,25.01608,22.1,58.85,970.03,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,141.70,Itally,Ugacof (U) Ltd
September,1995,750,1600,1435,,173.7997,22.4,62.58,977.7,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,124.76,Itally,Ugacof (U) Ltd
October,1995,725,1680,1365,,245.805,23.0,69.81,1043.38,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,120.02,Itally,Ugacof (U) Ltd
November,1995,825,1730,1265,,148.1049,23.0,72.17,1028.3,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,117.99,Itally,Ugacof (U) Ltd
December,1995,718,1380,1220,,73.80991,23.1,67.36,1023.25,2.58,2.47,3.08,232646,36.04,190342,28230196,44437,7810980,99.57,Itally,Ugacof (U) Ltd
January,1996,600,1350,1000,,162.7694,23.2,72.83,1017.72,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,100.33,Itally,Kyagalanyi Coffee Ltd
February,1996,700,1400,1300,,163.683,24.1,71.49,1022.37,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,110.50,Itally,Kyagalanyi Coffee Ltd
March,1996,700,1450,1300,,214.612,24.3,70.16,1016.6,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,105.89,Itally,Kyagalanyi Coffee Ltd
April,1996,650,1450,1325,,164.9203,23.1,76.31,1013.56,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,107.09,Itally,Kyagalanyi Coffee Ltd
May,1996,600,1350,1250,,171.7828,22.6,67.15,1018,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,110.24,Itally,Kyagalanyi Coffee Ltd
June,1996,550,1325,1300,,111.9152,22.3,55.51,1041.36,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,105.79,Itally,Kyagalanyi Coffee Ltd
July,1996,500,1200,1325,,86.97577,21.5,50.08,1055.44,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,99.97,Itally,Kyagalanyi Coffee Ltd
August,1996,450,1000,1250,,106.0924,21.7,58.94,1067.44,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,102.73,Itally,Kyagalanyi Coffee Ltd
September,1996,500,1100,1300,,198.1356,22.0,60.34,1074.97,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,96.52,Itally,Kyagalanyi Coffee Ltd
October,1996,450,900,1150,,105.4201,23.0,68.45,1105.05,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,98.56,Itally,Kyagalanyi Coffee Ltd
November,1996,400,850,1100,,275.6524,22.4,69.98,1081.48,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,97.14,Itally,Kyagalanyi Coffee Ltd
December,1996,350,800,1050,,90.37079,22.7,74.24,1030.35,1.56,1.53,1.89,345734,32.50,313529,28761398,32205,3648282,90.04,Itally,Kyagalanyi Coffee Ltd
January,1997,550,1150,1350,,149.746,23.1,70.13,1044.85,1.40,1.27,2.46,353093,29.59,315751,24071576,37342,5522311,100.03,Itally,Ugacof (U) Ltd
February,1997,650,1400,1650,,16.62927,24.2,68.12,1033.111,1.40,1.27,2.46,353093,29.59,315751,24071576,37342,5522311,121.89,Itally,Ugacof (U) Ltd
