,Month,Year,Robusta_Kiboko_Price,FAQ_Price,Arabica_Parchment_Price,Drugar_Price,Rainfall,Temperature,Average_Relative_Humidity,Exchange_Rate,Average-Export-Price,Export_Price_Robusta,Export_Price_Arabica,Total_Export_Volume,Export_Value,Robusta_Export_Volume,Robusta_Export_Value,Arabica_Export_Volume,Arabica_Export_Value,ICO_Composite_Price,Top_Importing_Country,Top_Exporter_in_Uganda
0,January,1992,0.009736842105263158,0.0027814569536423854,0.002706359945872802,0.0028094271890120176,0.05611540193283153,23.3,66.16,970.00,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,61.12,Itally,Kyagalanyi Coffee Ltd
1,February,1992,0.0075,0.000529801324503313,0.0,0.0,0.08590276374622842,23.8,66.89,985.48,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,55.51,Itally,Kyagalanyi Coffee Ltd
2,March,1992,0.012763157894736844,0.005894039735099336,0.006409799871804005,0.006711409395973152,0.0954606425835841,24.2,70.99,1160.08,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,56.48,Itally,Kyagalanyi Coffee Ltd
3,April,1992,0.01118421052631579,0.00423841059602649,0.004415639911687204,0.004604339004214142,0.22743786534391325,23.7,71.59,1158.91,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,53.64,Itally,Kyagalanyi Coffee Ltd
4,May,1992,0.008815789473684211,0.0018543046357615903,0.0015668399686632056,0.001638832526923678,0.24013176552526805,22.8,62.59,1164.94,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,49.27,Itally,Kyagalanyi Coffee Ltd
5,June,1992,0.013289473684210525,0.006225165562913904,0.006908339861833208,0.007101607616669267,0.20607101282515225,22.1,59.61,1166.06,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,48.13,Itally,Kyagalanyi Coffee Ltd
6,July,1992,0.007894736842105263,0.0013245033112582773,0.002848799943024005,0.007803964413922275,0.2034397756518602,22.3,52.31,1177.86,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,48.7,Itally,Kyagalanyi Coffee Ltd
7,August,1992,0.009210526315789475,0.002649006622516558,0.0029200199415996067,0.005774933666302481,0.07007198613627244,22.3,64.18,1185.29,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,45.89,Itally,Kyagalanyi Coffee Ltd
8,September,1992,0.008552631578947367,0.0,0.003062459938750803,0.006789449040112375,0.24188368151445738,23.2,65.86,1185.15,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,47.11,Itally,Kyagalanyi Coffee Ltd
9,October,1992,0.009868421052631578,0.003311258278145695,0.003632219927355601,0.011627906976744186,0.27020724057318724,23.5,67.15,1181.07,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,52.88,Itally,Kyagalanyi Coffee Ltd
10,November,1992,0.013157894736842105,0.006622516556291393,0.006481019870379606,0.016232245980958328,0.35435057313039836,23.2,68.28,1196.34,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,57.49,Itally,Kyagalanyi Coffee Ltd
11,December,1992,0.019736842105263157,0.013245033112582783,0.007406879851862405,0.02278757608865304,0.2711242702457135,23.8,67.78,1213.93,0.85,0.81,1.26,171101,0.008013417815877756,157015,7645211,13003,1067793,64.0,Itally,Kyagalanyi Coffee Ltd
12,January,1993,0.019736842105263157,0.013245033112582783,0.010469339790613208,0.012954580927110972,0.12354979752508673,24.3,63.38,1217.12,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,58.14,Itally,Ugacof (U) Ltd
13,February,1993,0.015789473684210527,0.009271523178807948,0.010398119792037606,0.01225222412985797,0.16409887657301803,24.7,66.46,1217.09,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,57.32,Itally,Ugacof (U) Ltd
14,March,1993,0.017105263157894735,0.010596026490066229,0.010398119792037606,0.010223193382238177,0.24445540042494046,24.5,67.35,1217.52,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,54.76,Itally,Ugacof (U) Ltd
15,April,1993,0.015789473684210527,0.009271523178807948,0.01054055978918881,0.007257686904947713,0.33409153485261983,23.3,75.78,1218.09,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,51.38,Itally,Ugacof (U) Ltd
16,May,1993,0.016447368421052634,0.009933774834437085,0.009828359803432808,0.009676915873263615,0.2934285354037161,22.7,69.36,1213.27,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,54.18,Itally,Ugacof (U) Ltd
17,June,1993,0.015789473684210527,0.009271523178807948,0.010042019799159606,0.009286717652567507,0.08634056948830868,22.5,63.26,1199.09,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,54.54,Itally,Ugacof (U) Ltd
18,July,1993,0.019736842105263157,0.013245033112582783,0.010611779787764404,0.015217730607148434,0.04156337012273341,21.4,50.11,1197.57,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,60.61,Itally,Ugacof (U) Ltd
19,August,1993,0.02236842105263158,0.015894039735099338,0.013246919735061605,0.01943187139066646,0.11380989879496249,22.1,50.41,1196.65,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,67.69,Itally,Ugacof (U) Ltd
20,September,1993,0.02631578947368421,0.019867549668874173,0.017164019656719612,0.014047135945060095,0.2251360169127422,22.0,57.84,1181.99,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,71.64,Itally,Ugacof (U) Ltd
21,October,1993,0.02631578947368421,0.026490066225165563,0.02236307955273841,0.018729514593413453,0.14075426479386097,22.8,71.17,1170.84,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,67.78,Itally,Ugacof (U) Ltd
22,November,1993,0.023026315789473686,0.016556291390728475,0.022505519549889608,0.020524426408615577,0.2865374620165709,22.5,74.72,1165.01,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,70.03,Itally,Ugacof (U) Ltd
23,December,1993,0.03289473684210526,0.033112582781456956,0.022149419557011614,0.021616981426564694,0.19074811759684412,22.4,75.39,1146.00,0.87,0.82,1.22,174054,0.009644055162131945,153459,7548012,22467,1509820,71.5,Itally,Ugacof (U) Ltd
24,January,1994,0.046052631578947366,0.033112582781456956,0.034969019300619616,0.016934602778211336,0.10687842636778733,22.3,70.28,"1,112.71",1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44437,6779311,69.17,Itally,Kyagalanyi Coffee Ltd
25,February,1994,0.05921052631578947,0.046357615894039736,0.05277401894451962,0.01701264242235056,0.16551168114496315,22.6,65.63,"1,047.22",1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,72.37,Itally,Kyagalanyi Coffee Ltd
26,March,1994,0.06578947368421054,0.05298013245033113,0.06345701873085963,0.021929140003121586,0.33042158169551056,23.4,69.65,"1,079.22",1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,76.11,Itally,Kyagalanyi Coffee Ltd
27,April,1994,0.06578947368421054,0.05298013245033113,0.07057901858841963,0.021226783205868585,0.36664883992780706,22.2,78.74,"1,007.03",1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,81.19,Itally,Kyagalanyi Coffee Ltd
28,May,1994,0.07236842105263158,0.05298013245033113,0.07057901858841963,0.03667863274543468,0.4249722532279419,21.7,63.9,965.71,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,108.42,Itally,Kyagalanyi Coffee Ltd
29,June,1994,0.06578947368421054,0.059602649006622516,0.07770101844597962,0.047526143280786644,0.1619112339043534,21.5,54.54,962.59,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,127.91,Itally,Kyagalanyi Coffee Ltd
30,July,1994,0.10526315789473684,0.09933774834437087,0.08126201837475963,0.10262213204307791,0.19869584397851608,21.5,50.01,967.07,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,191.44,Itally,Kyagalanyi Coffee Ltd
31,August,1994,0.125,0.11920529801324503,0.10262801794743964,0.0902918682690807,0.23195595374605066,22.0,43.89,921.38,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,181.53,Itally,Kyagalanyi Coffee Ltd
32,September,1994,0.11184210526315788,0.11589403973509935,0.10975001780499966,0.10082722022787577,0.2691438611996444,22.0,56.34,920.79,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,202.39,Itally,Kyagalanyi Coffee Ltd
33,October,1994,0.07894736842105263,0.08278145695364239,0.09550601808987963,0.09263305759325738,0.2534006691976645,22.8,60.26,919.78,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,185.64,Itally,Kyagalanyi Coffee Ltd
34,November,1994,0.08881578947368421,0.10099337748344372,0.11687201766255964,0.08116122990479163,0.5585116673232734,22.7,70.07,920.14,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,168.12,Itally,Kyagalanyi Coffee Ltd
35,December,1994,0.08552631578947367,0.07947019867549669,0.10262801794743964,0.06781645075698456,0.2496807777721025,22.6,64.73,929.75,1.52,1.3,2.54,250434,0.07370480805068952,205997,16025593,44427,6779311,149.14,Itally,Kyagalanyi Coffee Ltd
36,January,1995,0.09210526315789475,0.08609271523178809,0.08482301830353964,,0.04004371803926614,23.0,60.57,925.04,2.58,2.47,3.08,232646,0.13534289973909802,190342,28230196,44437,7810980,152.08,Itally,Ugacof (U) Ltd
37,February,1995,0.09868421052631579,0.09271523178807947,0.07414001851719963,,0.17120633553481404,23.8,72.39,925.53,2.58,2.47,3.08,232646,0.13534289973909802,190342,28230196,44437,7810980,152.24,Itally,Ugacof (U) Ltd
38,March,1995,0.08552631578947367,0.08940397350993377,0.07235951855280963,,0.35286139358217067,23.2,70.55,927.04,2.58,2.47,3.08,232646,0.13534289973909802,190342,28230196,44437,7810980,162.73,Itally,Ugacof (U) Ltd
39,April,1995,0.08223684210526316,0.08609271523178809,0.07235951855280963,,0.5418995494502157,23.1,69.91,928.83,2.58,2.47,3.08,232646,0.13534289973909802,190342,28230196,44437,7810980,159.59,Itally,Ugacof (U) Ltd
40,May,1995,0.08881578947368421,0.08940397350993377,0.07414001851719963,,0.3320271479836832,23.0,65.36,941.02,2.58,2.47,3.08,232646,0.13534289973909802,190342,28230196,44437,7810980,155.96,Itally,Ugacof (U) Ltd
