Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set
1992-01-01,970.0,61.12,35.03382,23.3,66.16,0.81,171101.0,0.016875,0.0637074884240778,0.0561154019328315,0.454545454545455,0.7429613125379786,0.0925507900677201,0.0348519958951675,-1.3562210911564974,-1.18506484883685,-1.3215615416657482,0.1422719603761207,0.6602394404940315,-0.9925409137670124,-1.184417668649129,Low,Medium,Low,Train
1992-02-01,985.48,55.51,49.64767,23.8,66.89,0.81,171101.0,0.0220766129032258,0.0457927510777582,0.0859027637462284,0.5681818181818183,0.7577476200121533,0.0925507900677201,0.0348519958951675,-1.34046254859404,-1.306253819824931,-1.1246363535208477,0.699597159487306,0.7276371339080591,-0.9925409137670124,-1.184417668649129,Low,High,Low,Train
1992-03-01,1160.08,56.48,54.33682,24.2,70.99,0.81,171101.0,0.0807459677419354,0.0488903081590292,0.0954606425835841,0.6590909090909092,0.8407940044561477,0.0925507900677201,0.0348519958951675,-1.1627208475988815,-1.285299577069416,-1.0614489151668436,1.145457318776253,1.1061721243156086,-0.9925409137670124,-1.184417668649129,Low,High,Low,Train
1992-04-01,1158.91,53.64,119.0856,23.7,71.59,0.81,171101.0,0.0803528225806451,0.0398211719623183,0.2274378653439132,0.545454545454545,0.8529471338869763,0.0925507900677201,0.0348519958951675,-1.1639119002344165,-1.3466501434876246,-0.1889433342519735,0.5881321196650674,1.1615674887654948,-0.9925409137670124,-1.184417668649129,Medium,High,Low,Train
1992-05-01,1164.94,49.27,125.3133,22.8,62.59,0.81,171101.0,0.0823790322580645,0.0258661983075203,0.240131765525268,0.3409090909090908,0.6706501924245496,0.0925507900677201,0.0348519958951675,-1.157773398189738,-1.441052247448037,-0.1050235599139314,-0.4150532387350646,0.3306370220172142,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train
1992-06-01,1166.06,48.13,108.6029,22.1,59.61,0.81,171101.0,0.082755376344086,0.022225770397573,0.2060710128251522,0.1818181818181825,0.6102896495847683,0.0925507900677201,0.0348519958951675,-1.156633245239483,-1.4656788832637964,-0.330200269951091,-1.1953085174907232,0.0555067119161165,-0.9925409137670124,-1.184417668649129,Medium,Low,Low,Train
1992-07-01,1177.86,48.7,107.312,22.3,52.31,0.81,171101.0,0.0867204301075268,0.0240459843525467,0.2034397756518602,0.2272727272727275,0.4624265748430223,0.0925507900677201,0.0348519958951675,-1.1446209195135788,-1.4533655653559168,-0.3475954618667227,-0.97237843784625,-0.6184702222241553,-0.9925409137670124,-1.184417668649129,Medium,Low,Low,Train
1992-08-01,1185.29,45.89,41.881,22.3,64.18,0.81,171101.0,0.0892170698924731,0.0150726488903081,0.0700719861362724,0.2272727272727275,0.702855985416245,0.0925507900677201,0.0348519958951675,-1.1370572262810814,-1.5140680624105525,-1.2292941234452244,-0.97237843784625,0.4774347378094107,-0.9925409137670124,-1.184417668649129,Low,Low,Low,Train
1992-09-01,1185.15,47.11,126.1728,23.2,65.86,0.81,171101.0,0.0891700268817204,0.0189685454255149,0.2418836815144573,0.4318181818181816,0.7368847478225646,0.0925507900677201,0.0348519958951675,-1.1371997453998632,-1.487713241625266,-0.0934415880714299,0.030806920553882,0.6325417582690891,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train
1992-10-01,1181.07,52.88,140.0685,23.5,67.15,0.81,171101.0,0.0877990591397849,0.0373942200223535,0.2702072405731872,0.5,0.7630139760988459,0.0925507900677201,0.0348519958951675,-1.1413531597186506,-1.363067900698131,0.0938063539086161,0.3652020400205941,0.7516417918363433,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train
1992-11-01,1196.34,57.49,181.3497,23.2,68.28,0.81,171101.0,0.0929301075268816,0.0521155995529299,0.3543505731303983,0.4318181818181816,0.7859023698602392,0.0925507900677201,0.0348519958951675,-1.125808395834366,-1.2634812418291377,0.6500805784864837,0.030806920553882,0.8559697282169603,-0.9925409137670124,-1.184417668649129,High,Medium,Low,Train
1992-12-01,1213.93,64.0,140.5184,23.8,67.78,0.81,171101.0,0.0988407258064516,0.0729043589334184,0.2711242702457135,0.5681818181818183,0.7757747620012156,0.0925507900677201,0.0348519958951675,-1.107901886553124,-1.122850189933878,0.0998688659876639,0.699597159487306,0.8098069245087225,-0.9925409137670124,-1.184417668649129,Medium,High,Low,Train
1993-01-01,1217.12,58.14,68.11752,24.3,63.38,0.82,174054.0,0.0999126344086021,0.054191282133163,0.1235497975250867,0.6818181818181825,0.6866518128418071,0.0948081264108352,0.0391261743859034,-1.1046544866323078,-1.2494397389517309,-0.8757506261965564,1.2569223585984914,0.4035742518762298,-0.97870395682704,-1.1586923180802198,Low,High,Low,Train
1993-02-01,1217.09,57.32,88.01113,24.7,66.46,0.82,174054.0,0.0999025537634408,0.0515727287242535,0.164098876573018,0.7727272727272725,0.7490378772533928,0.0948081264108352,0.0391261743859034,-1.104685026443475,-1.2671536348893826,-0.6076793860968378,1.702782517887438,0.687937122718974,-0.97870395682704,-1.1586923180802198,Low,High,Low,Train
