,Month,Year,Robusta_Kiboko_Price,FAQ_Price,Arabica_Parchment_Price,Drugar_Price,Rainfall,Temperature,Average_Relative_Humidity,Exchange_Rate,Average-Export-Price,Export_Price_Robusta,Export_Price_Arabica,Total_Export_Volume,Export_Value,Robusta_Export_Volume,Robusta_Export_Value,Arabica_Export_Volume,Arabica_Export_Value,ICO_Composite_Price,Top_Importing_Country,Top_Exporter_in_Uganda
0,January,1992,-1.016189022152405,-1.0654653852341915,-1.1216909303019973,-1.3052952373671496,-1.3215615416657482,23.3,66.16,970.00,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,61.12,Itally,Kyagalanyi Coffee Ltd
1,February,1992,-1.0299484302014492,-1.0789939364555428,-1.1338233634033212,-1.3146406190535873,-1.1246363535208475,23.8,66.89,985.48,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,55.51,Itally,Kyagalanyi Coffee Ltd
2,March,1992,-0.9975733524389925,-1.0467641526635003,-1.1050886534265014,-1.2923155405804305,-1.0614489151668436,24.2,70.99,1160.08,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,56.48,Itally,Kyagalanyi Coffee Ltd
3,April,1992,-1.0072858757677294,-1.0567116167968467,-1.1140283409748455,-1.2993245768452588,-0.18894333425197357,23.7,71.59,1158.91,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,53.64,Itally,Kyagalanyi Coffee Ltd
4,May,1992,-1.021854660760835,-1.0710359651488655,-1.1267993231867652,-1.3091891464031653,-0.10502355991393146,22.8,62.59,1164.94,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,49.27,Itally,Kyagalanyi Coffee Ltd
5,June,1992,-0.9943358446627468,-1.044774659836831,-1.1028537315394156,-1.2910175709017586,-0.33020026995109103,22.1,59.61,1166.06,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,48.13,Itally,Kyagalanyi Coffee Ltd
6,July,1992,-1.027520299369265,-1.0742191536715364,-1.1210523811914013,-1.2886812254801492,-0.3475954618667227,22.3,52.31,1177.86,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,48.7,Itally,Kyagalanyi Coffee Ltd
7,August,1992,-1.0194265299286507,-1.0662611823648593,-1.1207331066361033,-1.295430667809243,-1.2292941234452244,22.3,64.18,1185.29,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,45.89,Itally,Kyagalanyi Coffee Ltd
8,September,1992,-1.023473414648958,-1.0821771249782135,-1.1200945575255072,-1.2920559466446961,-0.0934415880714299,23.2,65.86,1185.15,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,47.11,Itally,Kyagalanyi Coffee Ltd
9,October,1992,-1.0153796452083437,-1.0622821967115208,-1.1175403610831234,-1.2759611226291645,0.09380635390861612,23.5,67.15,1181.07,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,52.88,Itally,Kyagalanyi Coffee Ltd
10,November,1992,-0.9951452216068083,-1.0423872684448279,-1.1047693788712034,-1.260645080420836,0.6500805784864837,23.2,68.28,1196.34,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,57.49,Itally,Kyagalanyi Coffee Ltd
11,December,1992,-0.9546763744037375,-1.0025974119114422,-1.1006188096523295,-1.2388391898191478,0.09986886598766397,23.8,67.78,1213.93,0.85,0.81,1.26,171101,-0.8837189833504319,157015,7645211,13003,1067793,64.0,Itally,Kyagalanyi Coffee Ltd
12,January,1993,-0.9546763744037375,-1.0025974119114422,-1.0868900037745157,-1.27154802572168,-0.8757506261965564,24.3,63.38,1217.12,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,58.14,Itally,Ugacof (U) Ltd
13,February,1993,-0.9789576827255799,-1.0264713258314737,-1.0872092783298137,-1.2738843711432895,-0.6076793860968378,24.7,66.46,1217.09,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,57.32,Itally,Ugacof (U) Ltd
14,March,1993,-0.9708639132849658,-1.0185133545247964,-1.0872092783298137,-1.2806338134723834,-0.07643987326784138,24.5,67.35,1217.52,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,54.76,Itally,Ugacof (U) Ltd
15,April,1993,-0.9789576827255799,-1.0264713258314737,-1.0865707292192177,-1.2904983830302899,0.5161474376639219,23.3,75.78,1218.09,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,51.38,Itally,Ugacof (U) Ltd
16,May,1993,-0.9749107980052729,-1.022492340178135,-1.0897634747721976,-1.282450971022524,0.24732306620146036,22.7,69.36,1213.27,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,54.18,Itally,Ugacof (U) Ltd
17,June,1993,-0.9789576827255799,-1.0264713258314737,-1.0888056511063038,-1.283748940701196,-1.121742005955925,22.5,63.26,1199.09,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,54.54,Itally,Ugacof (U) Ltd
18,July,1993,-0.9546763744037375,-1.0025974119114422,-1.0862514546639197,-1.264019801585383,-1.4177654827883661,21.4,50.11,1197.57,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,60.61,Itally,Ugacof (U) Ltd
19,August,1993,-0.9384888355225092,-0.986681469298088,-1.0744382961178938,-1.2500017290557262,-0.9401414038007471,22.1,50.41,1196.65,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,67.69,Itally,Ugacof (U) Ltd
20,September,1993,-0.9142075272006667,-0.9628075553780566,-1.056878195576504,-1.2679137106213987,-0.20416092680780495,22.0,57.84,1181.99,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,71.64,Itally,Ugacof (U) Ltd
21,October,1993,-0.9142075272006667,-0.9230176988446709,-1.0335711530397504,-1.2523380744773356,-0.7620113506252505,22.8,71.17,1170.84,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,67.78,Itally,Ugacof (U) Ltd
22,November,1993,-0.9344419508022022,-0.9827024836447494,-1.0329326039291544,-1.2463674139554448,0.20176596276326414,22.5,74.72,1165.01,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,70.03,Itally,Ugacof (U) Ltd
23,December,1993,-0.8737386799975959,-0.8832278423112853,-1.0345289767056443,-1.2427330988551635,-0.43150041343684525,22.4,75.39,1146.00,0.87,0.82,1.22,174054,-0.8709138598906393,153459,7548012,22467,1509820,71.5,Itally,Ugacof (U) Ltd
